date,price,return,energy,state,regime,raw_signal,action,invested,position,cash,total_value,stop_triggered,strategy_return
2008-01-07,101.39896392822266,-0.0008491293698775,7.615444543425803e-06,0,0,BUY,BUY,True,986,20.621566772460938,100000.0,False,
2008-01-08,99.7615203857422,-0.0161485234073947,2.6543834151211617e-06,0,0,BUY,HOLD,True,986,20.621566772460938,98385.48066711427,False,-0.01614519332885722
2008-01-09,100.8100357055664,0.0105102179254084,2.0135097344345515e-05,1,1,SELL,SELL,False,0,99419.31677246094,99419.31677246094,False,0.010508014986933212
2008-01-10,101.47079467773438,0.0065544959640508,2.304525910696711e-05,1,1,SELL,HOLD,False,0,99419.31677246094,99419.31677246094,False,0.0
2008-01-11,100.65200805664062,-0.0080691850664437,1.6001780682629743e-05,1,1,SELL,HOLD,False,0,99419.31677246094,99419.31677246094,False,0.0
2008-01-14,101.46358489990234,0.0080631957467258,4.06646952856264e-06,0,0,BUY,BUY,True,979,86.46715545654297,99419.31677246094,False,0.0
2008-01-15,99.23004150390624,-0.022013251337409,1.1075597263444524e-05,1,1,SELL,SELL,False,0,97232.67778778075,97232.67778778075,True,-0.021994105930990382
2008-01-16,98.37541198730467,-0.0086126086782692,1.7949356923726083e-05,1,1,SELL,HOLD,False,0,97232.67778778075,97232.67778778075,False,0.0
2008-01-17,95.8259048461914,-0.0259161012859828,2.7100186304607874e-05,1,1,SELL,HOLD,False,0,97232.67778778075,97232.67778778075,False,0.0
2008-01-18,94.84202575683594,-0.0102673602814883,2.2246328646845913e-05,1,1,SELL,HOLD,False,0,97232.67778778075,97232.67778778075,False,0.0
2008-01-22,93.87967681884766,-0.0101468619033469,3.016445205358079e-06,0,0,BUY,BUY,True,1035,67.21228027342295,97232.67778778075,False,0.0
2008-01-23,96.13475036621094,0.0240208916751463,7.43237671297523e-05,1,1,SELL,SELL,False,0,99566.67890930174,99566.67890930174,False,0.024004287186404127
2008-01-24,96.94627380371094,0.0084415202037622,8.183950172788676e-05,1,1,SELL,HOLD,False,0,99566.67890930174,99566.67890930174,False,0.0
2008-01-25,95.54581451416016,-0.0144457258087744,6.423230547117376e-05,1,1,SELL,HOLD,False,0,99566.67890930174,99566.67890930174,False,0.0
2008-01-28,97.1258544921875,0.0165369878948824,1.3631301119832457e-05,1,1,SELL,HOLD,False,0,99566.67890930174,99566.67890930174,False,0.0
2008-01-29,97.60697174072266,0.0049535445639128,2.147075375253811e-05,1,1,SELL,HOLD,False,0,99566.67890930174,99566.67890930174,False,0.0
2008-01-30,96.8888168334961,-0.0073576189735117,1.0090871527631411e-05,0,0,BUY,BUY,True,1027,61.86402130125498,99566.67890930174,False,0.0
2008-01-31,98.655517578125,0.0182343102369078,4.557698000403568e-07,0,0,BUY,HOLD,True,1027,61.86402130125498,101381.08057403563,False,0.01822298066591821
2008-02-01,100.2426986694336,0.0160881127611713,2.738258850232423e-05,1,1,SELL,SELL,False,0,103011.11555480956,103011.11555480956,False,0.016078295590700176
2008-02-04,98.97872161865234,-0.0126091682243054,3.2493123884338594e-05,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-05,96.3286590576172,-0.0267740633309589,0.00012149055318560667,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-06,95.55301666259766,-0.0080520418596878,0.00011060057888696472,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-07,96.18504333496094,0.0066144083613288,7.70274856874903e-05,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-08,95.56736755371094,-0.0064217445855793,3.228117189154631e-05,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-11,96.05575561523438,0.0051104061357445,1.5068539111639835e-05,1,1,SELL,HOLD,False,0,103011.11555480956,103011.11555480956,False,0.0
2008-02-12,96.94627380371094,0.009270846736594,3.5989769938016655e-06,0,0,BUY,BUY,True,1062,54.172775268540136,103011.11555480956,False,0.0
2008-02-13,97.93737030029295,0.0102231520376814,1.2336422281934723e-05,0,0,BUY,HOLD,True,1062,54.172775268540136,104063.66003417966,False,0.010217775758481817
2008-02-14,97.07555389404295,-0.0087996686413727,2.1567632267678855e-05,1,1,SELL,SELL,False,0,103148.41101074216,103148.41101074216,False,-0.008795087767784482
2008-02-15,97.0539779663086,-0.0002222591256901,1.3686883275607304e-05,1,1,SELL,HOLD,False,0,103148.41101074216,103148.41101074216,False,0.0
2008-02-19,97.3269271850586,0.0028123444754089,1.0804103247916012e-05,0,0,BUY,BUY,True,1059,79.19512176510761,103148.41101074216,False,0.0
2008-02-20,97.61418151855467,0.0029514374059083,5.624203369363956e-06,0,0,BUY,HOLD,True,1059,79.19512176510761,103452.6133499145,False,0.0029491713560247934
2008-02-21,96.8026351928711,-0.0083138158109673,8.661312270394764e-06,0,0,BUY,HOLD,True,1059,79.19512176510761,102593.1857910156,False,-0.008307451412484013
2008-02-22,97.39871215820312,0.0061576522596145,2.023592136326605e-06,0,0,BUY,HOLD,True,1059,79.19512176510761,103224.43129730222,False,0.006152898961267139
2008-02-25,98.6268081665039,0.0126089553043164,1.3790376649143015e-05,0,0,BUY,HOLD,True,1059,79.19512176510761,104524.98497009274,False,0.012599281550360164
2008-02-26,99.3665008544922,0.0074999151015768,1.7698932127931925e-05,0,0,BUY,HOLD,True,1059,79.19512176510761,105308.31952667235,False,0.007494232664120748
